word,frequency
agree,33.0
posted,33.0
saying,33.0
layf,33.0
bro,33.0
theyre,33.0
park,33.0
forget,33.0
appreciate,33.0
trust,33.0
important,33.0
@neonnights949,33.0
exactly,33.0
',32.0
stage,32.0
safe,32.0
50%,32.0
retweeting,32.0
wear,32.0
sheer,32.0
head,32.0
emotional,32.0
loving,32.0
perform,32.0
reach,32.0
songs,32.0
inside,32.0
single,32.0
following,32.0
wedding,31.0
joys,31.0
october,31.0
joy-con,31.0
doesnt,31.0
leave,31.0
gift,31.0
online,31.0
@ife_dee_joy,31.0
sparks,31.0
psycho2,31.0
needed,31.0
she's,31.0
goes,31.0
son,31.0
armys,31.0
fuck,31.0
fabulous,31.0
update,31.0
side,31.0
parents,31.0
calling,30.0
national,30.0
:),30.0
high,30.0
id,30.0
unbreakable,30.0
white,30.0
problem,30.0
blessing,30.0
isn't,30.0
fact,30.0
takes,30.0
thankful,30.0
series,30.0
ask,30.0
hearts,30.0
picture,30.0
quite,30.0
especially,30.0
journey,30.0
meet,30.0
celebration,30.0
joy's,30.0
@_emyour_joy,30.0
talking,30.0
wonder,30.0
aggressively,30.0
break,30.0
heard,30.0
luck,30.0
nigeria,29.0
fall,29.0
ing,29.0
wore,29.0
growing,29.0
6,29.0
pc,29.0
bengal,29.0
tear,29.0
christmas,29.0
memories,29.0
dance,29.0
g,29.0
second,29.0
party,29.0
played,29.0
dream,29.0
everyday,28.0
job,28.0
course,28.0
sense,28.0
incredible,28.0
forward,28.0
using,28.0
entire,28.0
guess,28.0
@robbie9fowler,28.0
feels,28.0
kim,28.0
above,28.0
tried,28.0
genuinely,28.0
sister,28.0
anniversary,28.0
joy:,28.0
either,27.0
jin,27.0
glory,27.0
yeri,27.0
fresh,27.0
brother,27.0
death,27.0
@bawdylilbitsy,27.0
tweets,27.0
@,27.0
easy,27.0
air,27.0
outside,27.0
often,27.0
healthy,27.0
worry,27.0
huge,27.0
crazy,27.0
@twittersupport,27.0
continue,27.0
known,27.0
weeks,27.0
watched,27.0
daily,26.0
i'd,26.0
inner,26.0
sounds,26.0
holy,26.0
lmao,26.0
plagiarism,26.0
@alpine_joy,26.0
bought,26.0
14,26.0
john,26.0
@kbandersen,26.0
describe,26.0
nobody,26.0
po,26.0
trash,26.0
close,26.0
dreams,26.0
hand,26.0
@pritipatel,26.0
almond,26.0
sing,26.0
wishes,26.0
happyannivg10,25.0
mother,25.0
favourite,25.0
nigerian,25.0
wearing,25.0
shake,25.0
jump,25.0
allow,25.0
havent,25.0
hell,25.0
early,25.0
members,25.0
father,25.0
writing,25.0
happened,25.0
shared,25.0
told,25.0
stuff,25.0
run,25.0
@ukhomeoffice,25.0
group,25.0
lead,25.0
tho,25.0
grace,25.0
10/10/2020,25.0
enjoying,25.0
wants,25.0
ways,25.0
hearing,25.0
worth,25.0
withtanroncal,25.0
fire,24.0
thief,24.0
won't,24.0
podcast,24.0
copy,24.0
lies,24.0
shout,24.0
@vegan_mega,24.0
delighted,24.0
speak,24.0
suffering,24.0
prince,24.0
grief,24.0
angel,24.0
cool,24.0
deal,24.0
short,24.0
state,24.0
@vicderbyshire,24.0
monitor,24.0
simply,24.0
running,24.0
act,24.0
discovered,24.0
target,24.0
indeed,24.0
immense,24.0
focus,24.0
less,24.0
