word,frequency
v,24.0
anyways,24.0
relationship,24.0
taylor,24.0
starting,24.0
worry,24.0
small,24.0
ah,24.0
ily,23.0
cheer,23.0
holding,23.0
father,23.0
performance,23.0
normal,23.0
light,23.0
album,23.0
turned,23.0
/3,23.0
disgusting,23.0
power,23.0
added,23.0
worse,23.0
allowed,23.0
telling,23.0
thinks,23.0
pandemic,23.0
fighting,23.0
stories,23.0
everyday,23.0
word,23.0
sucks,23.0
decided,23.0
@youtube,23.0
era,23.0
anime,23.0
share,23.0
couple,23.0
000,23.0
scene,23.0
goes,22.0
food,22.0
sars,22.0
history,22.0
future,22.0
oomf,22.0
sense,22.0
beyond,22.0
main,22.0
internet,22.0
toxic,22.0
totally,22.0
you'll,22.0
forgot,22.0
run,22.0
trust,22.0
art,22.0
passed,22.0
hold,22.0
shouldnt,22.0
using,22.0
lack,22.0
disappointed,22.0
excuse,22.0
nigeria,22.0
singing,22.0
soo,22.0
sister,22.0
emotions,22.0
important,22.0
son,22.0
protect,22.0
himself,22.0
self,22.0
*sad,22.0
terrible,22.0
shot,22.0
wonder,22.0
tf,22.0
car,22.0
let's,22.0
6,22.0
happiness,22.0
three,22.0
asleep,21.0
issue,21.0
seem,21.0
sweet,21.0
you've,21.0
biden,21.0
acting,21.0
fast,21.0
works,21.0
society,21.0
between,21.0
dear,21.0
mother,21.0
level,21.0
likes,21.0
nah,21.0
shut,21.0
americans,21.0
sooo,21.0
frustrated,21.0
freaking,21.0
haven't,21.0
bored,21.0
followers,21.0
draw,21.0
@mbuhari,21.0
anyway,21.0
bunch,20.0
speak,20.0
exist,20.0
wa,20.0
changed,20.0
stuck,20.0
meant,20.0
cut,20.0
bitches,20.0
lately,20.0
tweet:,20.0
sunday,20.0
anxious,20.0
earlier,20.0
slow,20.0
none,20.0
@cenkuygur,20.0
stan,20.0
@jackposobiec,20.0
number,20.0
characters,20.0
course,20.0
aw,20.0
7,20.0
worked,20.0
realized,20.0
desperate,20.0
endsarsnow,20.0
app,20.0
halloween,20.0
american,20.0
hopefully,20.0
hella,20.0
jimoh,20.0
posts,20.0
learn,20.0
wearing,20.0
amount,20.0
horrible,20.0
respect,20.0
everytime,20.0
worth,20.0
comments,19.0
unless,19.0
tweeting,19.0
fat,19.0
vibes,19.0
explain,19.0
business,19.0
sleeping,19.0
puppy,19.0
actual,19.0
children,19.0
dying,19.0
asking,19.0
stand,19.0
mapofthesoulone_d2,19.0
legit,19.0
problems,19.0
@danrather,19.0
reply,19.0
problem,19.0
beat,19.0
series,19.0
re,19.0
posted,19.0
obviously,19.0
fo,19.0
losing,19.0
posting,19.0
g,19.0
security,19.0
fuckin,19.0
aren't,19.0
serious,19.0
simple,19.0
x,19.0
half,19.0
blame,18.0
takes,18.0
rly,18.0
blue,18.0
class,18.0
eating,18.0
perfect,18.0
broken,18.0
ex,18.0
calling,18.0
played,18.0
given,18.0
awake,18.0
born,18.0
confused,18.0
dark,18.0
age,18.0
question,18.0
arent,18.0
city,18.0
moments,18.0
minutes,18.0
ace_onlineconcert,18.0
sending,18.0
@sad_istfied,18.0
attend,18.0
entire,18.0
check,18.0
sexy,18.0
treasure,18.0
content,18.0
liked,18.0
noticed,18.0
@smitaprakash,18.0
line,18.0
positive,18.0
straight,18.0
supporters,18.0
met,18.0
condolences,18.0
@corpse_husband,18.0
completely,18.0
growing,18.0
lights,18.0
swear,18.0
yea,18.0
walk,17.0
goodnight,17.0
suffering,17.0
ca,17.0
//,17.0
soft,17.0
tv,17.0
members,17.0
con,17.0
alright,17.0
asked,17.0
@nbcsnl,17.0
pray,17.0
election,17.0
order,17.0
acc,17.0
grow,17.0
netflix,17.0
mostly,17.0
ik,17.0
lose,17.0
political,17.0
@official_ace7,17.0
wear,17.0
minute,17.0
keeps,17.0
cares,17.0
huge,17.0
goodbye,17.0
affairs,17.0
hands,17.0
sit,17.0
hates,17.0
nor,17.0
sadder,17.0
somebody,17.0
mask,17.0
jokes,17.0
today:,17.0
nation,17.0
folks,17.0
*,17.0
chance,17.0
via,17.0
noooo,17.0
walking,17.0
whether,16.0
older,16.0
holy,16.0
fear,16.0
tattoo,16.0
ima,16.0
facts,16.0
prayers,16.0
tha,16.0
csk,16.0
unfortunately,16.0
wouldve,16.0
fully,16.0
awful,16.0
october,16.0
answer,16.0
list,16.0
weather,16.0
players,16.0
wouldn't,16.0
outside,16.0
book,16.0
attack,16.0
catch,16.0
=,16.0
front,16.0
writing,16.0
vibe,16.0
moots,16.0
sent,16.0
youtube,16.0
gn,16.0
streaming,16.0
killing,16.0
except,16.0
ngl,16.0
dance,16.0
10%,16.0
bear,16.0
known,16.0
huh,16.0
kept,16.0
tiny,16.0
dm,16.0
alive,16.0
edit,16.0
court,16.0
date,16.0
politics,16.0
antifa,16.0
fandom,16.0
update,16.0
virus,16.0
k,16.0
hearing,16.0
gotten,16.0
stressed,15.0
concerts,15.0
hits,15.0
deal,15.0
period,15.0
listened,15.0
expect,15.0
bcs,15.0
slept,15.0
dr,15.0
comment,15.0
happy:,15.0
ran,15.0
fire,15.0
documentary,15.0
itll,15.0
heartbreaking,15.0
@tedcruz,15.0
justice,15.0
thread,15.0
bag,15.0
text,15.0
soooo,15.0
