,word,frequency
895,@chibbs_1,17.0
896,become,17.0
897,8,17.0
898,star,17.0
899,along,17.0
900,wrong,17.0
901,alive,17.0
902,affirmations,17.0
903,ecr,16.0
904,test,16.0
905,emotional,16.0
906,adorable,16.0
907,self,16.0
908,smiling,16.0
909,followed,16.0
910,sa,16.0
911,mother,16.0
912,opportunity,16.0
913,drop,16.0
914,problem,16.0
915,against,16.0
916,half,16.0
917,absolutely,16.0
918,child,16.0
919,wasn't,16.0
920,blue,16.0
921,plans,16.0
922,note,16.0
923,af,16.0
924,anna,16.0
925,reach,16.0
926,needed,16.0
927,knows,16.0
928,tried,16.0
929,today's,16.0
930,listening,16.0
931,important,16.0
932,mate,16.0
933,havent,16.0
934,fandom,16.0
935,birthdayyy,16.0
936,using,16.0
937,moments,16.0
938,crush,16.0
939,lennon80,16.0
940,issue,16.0
941,sooo,16.0
942,parents,15.0
943,state,15.0
944,hahaha,15.0
945,birthdayyyy,15.0
946,respect,15.0
947,drink,15.0
948,beginning,15.0
949,daughter,15.0
950,16,15.0
951,stephen,15.0
952,de,15.0
953,thoughts,15.0
954,wasnt,15.0
955,bby,15.0
956,add,15.0
957,aren't,15.0
958,vivalaraza,15.0
959,crazy,15.0
960,what's,15.0
961,energy,15.0
962,woke,15.0
963,coz,15.0
964,dinga,15.0
965,ff,15.0
966,finished,15.0
967,whats,15.0
968,series,15.0
969,took,15.0
970,12,15.0
971,under,15.0
972,surprised,15.0
973,maybe,15.0
974,hinga,15.0
975,expect,15.0
976,fighting,15.0
977,million,15.0
978,twin,15.0
979,333,15.0
980,himself,15.0
981,happ,15.0
982,se,15.0
983,hap,15.0
984,president,15.0
985,+,15.0
986,@seanonolennon,15.0
987,revival,15.0
988,especially,15.0
989,exactly,15.0
990,tl,15.0
991,13,15.0
992,broke,15.0
993,fr,15.0
994,turning,15.0
995,uri,15.0
996,question,15.0
997,anyway,15.0
998,america,15.0
999,9th,15.0
1000,bias,15.0
1001,favourite,14.0
1002,@heidiocanada,14.0
1003,c,14.0
1004,run,14.0
1005,death,14.0
1006,career,14.0
1007,hehe,14.0
1008,word,14.0
1009,writing,14.0
1010,release,14.0
1011,beat,14.0
1012,save,14.0
1013,fight,14.0
1014,till,14.0
1015,older,14.0
1016,water,14.0
1017,final,14.0
1018,base,14.0
1019,exist,14.0
1020,couldn't,14.0
1021,idol,14.0
1022,journey,14.0
1023,ka,14.0
1024,aint,14.0
1025,inspired,14.0
1026,speak,14.0
1027,soooo,14.0
1028,wished,14.0
1029,princess,14.0
1030,choose,14.0
1031,sweetie,14.0
1032,finish,14.0
1033,sakata,14.0
1034,youu,14.0
1035,heard,14.0
1036,holidays,14.0
1037,ultimate,14.0
1038,app,14.0
1039,students,14.0
1040,husband,14.0
1041,express,14.0
1042,wont,14.0
1043,easy,14.0
1044,explain,14.0
1045,five,14.0
1046,huge,14.0
1047,scene,14.0
1048,date,14.0
1049,mask,14.0
1050,project,14.0
1051,relationship,14.0
1052,cat,14.0
1053,~,14.0
1054,virtual,14.0
1055,biggest,14.0
1056,birthdayy,14.0
1057,close,14.0
1058,children,13.0
1059,ate,13.0
1060,passed,13.0
1061,hit,13.0
1062,sis,13.0
1063,shining,13.0
1064,durgen,13.0
1065,5th,13.0
1066,member,13.0
1067,extra,13.0
1068,learn,13.0
1069,voting,13.0
1070,link,13.0
1071,j,13.0
1072,girls,13.0
1073,box,13.0
1074,gday,13.0
1075,stupid,13.0
1076,band,13.0
1077,bed,13.0
1078,wit,13.0
1079,dead,13.0
1080,ko,13.0
1081,decided,13.0
1082,luv,13.0
1083,online,13.0
1084,social,13.0
1085,boo,13.0
1086,growth,13.0
1087,folks,13.0
1088,@cravity_twt,13.0
1089,@little_aguero10,13.0
1090,war,13.0
1091,ji,13.0
1092,instead,13.0
1093,line,13.0
1094,hardworking,13.0
1095,growing,13.0
1096,police,13.0
1097,wake,13.0
1098,mo,13.0
1099,youuuu,13.0
1100,sent,13.0
1101,daddy,13.0
1102,seem,13.0
1103,daily,13.0
1104,kings,13.0
1105,reminder,13.0
1106,sun,13.0
1107,hand,13.0
1108,provide,13.0
1109,tha,13.0
1110,order,13.0
1111,babie,13.0
1112,30,13.0
1113,fave,13.0
1114,cannot,13.0
1115,tears,13.0
1116,justus,13.0
1117,number,13.0
1118,lost,13.0
1119,@selenagomez,13.0
1120,watched,13.0
1121,details,13.0
1122,hbd,13.0
1123,bornday,13.0
1124,@selenafanclub,13.0
1125,spent,12.0
1126,simple,12.0
1127,absolute,12.0
1128,grab,12.0
1129,aw,12.0
1130,keeps,12.0
1131,lady,12.0
1132,pics,12.0
1133,figure,12.0
